#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
22	15272	16686	15178	14454	14286	12826	11772	10930	10672	10159	10889	11581	12627	13977	15897	17962	20374	21498	21172	23388	56437	573069	21356	11043	8057	5381	3202	2861	1643	1580	1058	868	1017	1137	670	616	476	447	287	282	197	229	161	190	138	75	66	64	58	20	40	58	20	19	27	21	16	9	24	3	5	1	3	1	16	0	0	4	1	2	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
23	13685	14705	13682	12910	12742	11505	10421	9771	9042	8787	9285	9502	10416	11558	12945	14854	16522	17689	18430	17958	20771	51343	486147	16653	9321	6901	4987	2578	2460	1375	1236	897	838	857	884	605	480	344	462	332	245	171	142	191	159	101	71	72	70	73	54	27	29	20	20	32	9	10	6	3	5	11	3	6	4	0	3	1	1	1	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	11563	12574	11636	11157	10796	9800	8997	8159	7410	7192	7402	7624	8238	9002	10370	11717	13092	14737	15722	15509	15240	17731	43510	386446	12533	6866	5178	3330	2009	1938	1268	1025	688	694	673	722	508	358	274	340	322	180	171	128	139	75	86	77	50	20	39	56	18	10	13	24	15	19	8	4	11	9	2	2	8	2	3	1	2	0	4	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	9658	10635	10132	9210	9308	8360	7568	6809	6206	5796	5823	5928	6573	7012	8049	8821	10088	11037	12181	12381	12713	12336	15065	37720	305787	9199	5096	3856	2671	1420	1462	809	850	514	459	665	571	364	219	186	367	185	157	116	96	128	103	90	43	63	57	20	29	31	16	16	17	23	9	13	11	17	2	2	0	0	2	0	7	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	7621	8433	7769	7527	7457	6737	5906	5236	4872	4586	4411	4571	4821	5287	5813	6508	7285	8203	8862	9237	9714	9677	9649	12158	30048	224882	6256	3723	2831	1765	1093	917	610	540	372	373	411	370	250	237	180	190	161	150	93	81	107	68	52	24	28	54	16	33	17	11	11	27	11	11	3	11	2	3	3	1	1	3	1	1	2	2	0	1	0	0	1	1	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
27	6018	6464	6131	5874	5890	5200	4665	4177	3756	3439	3435	3366	3625	3860	4216	4792	5277	5963	6460	6684	7054	7433	7433	7838	9787	23743	168065	4192	2409	1778	1099	718	863	433	421	251	262	320	225	139	115	111	146	123	89	57	80	61	61	68	19	17	19	31	14	10	28	6	5	12	7	12	17	0	1	0	5	6	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	5007	5476	5140	5039	4694	4366	3952	3427	3052	2770	2672	2699	2792	2944	3271	3594	4094	4510	4841	5157	5560	5773	6187	6369	6593	8140	19293	131936	3007	1757	1294	942	618	574	265	334	249	195	291	183	139	158	68	74	44	53	64	34	31	33	30	21	30	26	16	15	17	11	22	15	7	6	13	5	0	0	13	8	0	0	0	1	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
29	3886	4338	4023	3824	3824	3317	2992	2683	2380	2259	2098	2108	2188	2262	2477	2781	2992	3344	3641	3788	4008	4303	4571	4833	5025	4971	6484	15237	99393	2233	1287	961	569	323	353	226	215	156	102	151	180	93	64	36	57	66	39	17	29	55	44	9	15	9	13	8	4	27	9	15	14	2	0	0	5	4	6	1	1	1	1	2	0	0	0	0	0	4	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2954	3134	2953	2767	2780	2484	2195	2103	1732	1624	1507	1494	1471	1583	1740	1863	2012	2284	2454	2575	2826	2912	3063	3481	3545	3588	3601	4597	10239	68821	1337	818	557	402	243	271	220	132	111	67	82	66	76	22	29	43	8	83	29	11	26	15	3	8	18	12	4	18	4	0	1	1	1	12	4	1	1	2	3	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1992	2291	2025	2014	1924	1795	1468	1423	1222	1142	1084	1009	1006	1073	1090	1225	1371	1555	1629	1710	1783	1896	1998	2237	2247	2436	2345	2510	3290	7059	46492	827	554	340	214	146	166	81	58	80	50	56	25	26	25	14	20	15	36	13	7	5	24	10	5	5	14	12	4	1	3	2	6	2	0	4	1	1	1	1	2	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
