#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
35	37	12	4	4	5	6	8	7	8	3	4	2	1	3	5	5	3	3	5	6	8	4	4	5	11	13	10	5	7	9	21	113	874	3147	5872	2950	1057	237	53	16	6	6	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	37	6	8	5	7	2	8	6	3	4	6	3	2	6	3	5	5	5	2	4	3	6	3	4	9	2	6	4	7	2	12	12	111	788	2741	4772	2428	860	247	58	16	8	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	17	11	5	4	3	4	7	4	2	3	3	6	10	3	7	8	5	5	3	4	6	4	8	2	3	6	2	6	3	6	6	8	14	114	846	2857	5090	2557	989	283	59	17	7	4	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	9	5	3	6	3	3	4	5	2	2	5	6	21	6	0	4	6	5	3	3	6	2	2	7	4	5	6	3	8	4	3	2	2	8	123	897	2803	4932	2521	928	228	81	15	6	3	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	16	4	5	9	2	4	3	4	5	3	4	4	0	2	5	3	4	4	2	4	3	8	3	5	4	6	5	3	5	1	9	2	6	7	17	99	825	2363	4265	2139	849	224	60	21	6	3	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	8	3	4	5	7	5	7	5	1	5	3	2	7	7	3	3	3	5	0	2	1	3	4	2	3	3	4	0	4	3	1	3	7	4	2	17	102	813	2188	3608	1757	706	191	51	13	2	2	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	11	4	2	1	8	7	4	2	5	4	2	1	2	2	3	0	2	3	0	5	3	1	3	2	2	2	3	0	1	1	0	3	5	1	3	5	7	86	683	1842	2887	1400	527	149	45	18	6	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	3	2	4	1	4	1	1	1	1	2	1	0	0	1	1	3	2	1	1	3	0	0	1	1	1	1	3	2	3	1	2	0	1	2	3	2	6	12	89	488	1288	2023	988	362	112	37	8	7	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	2	2	3	0	3	4	2	1	1	1	1	2	3	3	3	2	1	0	2	1	2	1	0	0	0	1	4	7	3	9	2	0	1	0	1	3	1	4	11	55	308	962	1388	707	270	74	21	7	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	1	2	2	2	2	1	1	1	3	1	0	0	1	1	1	0	2	1	4	3	1	2	2	2	1	0	1	1	1	2	1	0	1	3	1	1	0	2	12	57	257	684	1042	535	235	49	20	8	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
